"Site","Date_collected","n","N1_Reported_value-gc_per_L"
"Allanfearn","2021-03-29",2,NA
"Allanfearn","2021-03-29",2,NA
"Allanfearn","2022-01-21",2,NA
"Allanfearn","2022-01-21",2,60867
"Alloa","2021-03-29",2,NA
"Alloa","2021-03-29",2,20001
"Alva","2021-03-22",2,NA
"Alva","2021-03-22",2,8117
"Annan","2021-03-29",2,NA
"Annan","2021-03-29",2,NA
"Bathgate","2021-02-23",2,NA
"Bathgate","2021-02-23",2,18848
"Bathgate","2021-03-11",2,4693
"Bathgate","2021-03-11",2,7454
"Blackburn","2021-03-29",2,NA
"Blackburn","2021-03-29",2,23351
"Blackridge","2021-03-12",2,NA
"Blackridge","2021-03-12",2,385
"Bonnybridge","2021-03-22",2,NA
"Bonnybridge","2021-03-22",2,35084
"Bonnybridge","2021-03-29",2,NA
"Bonnybridge","2021-03-29",2,73785
"Cumnock - Netherwood","2021-03-19",2,NA
"Cumnock - Netherwood","2021-03-19",2,5178
"Dalmarnock","2021-03-10",2,NA
"Dalmarnock","2021-03-10",2,22874
"Dalmuir - SECC","2021-11-25",2,NA
"Dalmuir - SECC","2021-11-25",2,10541
"Dalscone","2021-03-10",2,NA
"Dalscone","2021-03-10",2,1644
"Dalscone","2021-03-15",2,NA
"Dalscone","2021-03-15",2,2642
"Dalscone","2021-03-23",2,NA
"Dalscone","2021-03-23",2,8964
"Dalscone","2021-03-29",2,NA
"Dalscone","2021-03-29",2,NA
"Dunblane","2021-03-29",2,NA
"Dunblane","2021-03-29",2,829
"Dunblane","2021-03-30",2,NA
"Dunblane","2021-03-30",2,0
"Dunnswood - Carrickstone","2021-03-29",2,NA
"Dunnswood - Carrickstone","2021-03-29",2,0
"Duns","2021-03-26",2,NA
"Duns","2021-03-26",2,0
"Falkirk","2021-11-10",2,103700
"Falkirk","2021-11-10",2,NA
"Fauldhouse","2021-03-12",2,NA
"Fauldhouse","2021-03-12",2,1917
"Girvan","2021-02-19",2,NA
"Girvan","2021-02-19",2,2898
"Hatton","2021-11-01",2,80278
"Hatton","2021-11-01",2,46369
"Kincardine","2021-03-02",2,NA
"Kincardine","2021-03-02",2,3115
"Kincardine","2021-03-26",2,NA
"Kincardine","2021-03-26",2,2702
"Kincardine","2021-03-29",2,NA
"Kincardine","2021-03-29",2,4690
"Kincardine","2021-03-30",2,NA
"Kincardine","2021-03-30",2,0
"Kirkwall","2021-11-24",2,46061
"Kirkwall","2021-11-24",2,32602
"Lerwick","2021-02-16",2,NA
"Lerwick","2021-02-16",2,NA
"Lerwick","2021-02-24",2,0
"Lerwick","2021-02-24",2,0
"Lerwick","2021-03-09",2,NA
"Lerwick","2021-03-09",2,NA
"Lerwick","2021-03-29",2,NA
"Lerwick","2021-03-29",2,NA
"Lerwick","2021-05-18",2,NA
"Lerwick","2021-05-18",2,0
"Lerwick","2021-09-14",2,58085
"Lerwick","2021-09-14",2,25749
"Lerwick","2022-01-11",2,NA
"Lerwick","2022-01-11",2,NA
"Lesmahagow","2021-03-11",2,10079
"Lesmahagow","2021-03-11",2,29348
"Linlithgow","2021-03-29",2,13631
"Linlithgow","2021-03-29",2,18453
"Meadowhead","2021-03-26",2,NA
"Meadowhead","2021-03-26",2,14672
"Meadowhead","2021-03-29",2,NA
"Meadowhead","2021-03-29",2,13954
"Muirkirk","2021-02-23",2,NA
"Muirkirk","2021-02-23",2,4967
"Muirkirk","2021-03-19",2,NA
"Muirkirk","2021-03-19",2,0
"Muirkirk","2021-03-30",2,NA
"Muirkirk","2021-03-30",2,0
"Neilston","2021-03-30",2,NA
"Neilston","2021-03-30",2,0
"Shieldhall - Barrhead","2021-03-30",2,NA
"Shieldhall - Barrhead","2021-03-30",2,3494
"Shieldhall - IMAX","2021-11-05",2,NA
"Shieldhall - IMAX","2021-11-05",2,NA
"Shieldhall - Science Centre","2021-11-05",2,NA
"Shieldhall - Science Centre","2021-11-05",2,NA
"Stirling","2021-02-19",2,NA
"Stirling","2021-02-19",2,7105
"Stornoway","2021-03-29",2,NA
"Stornoway","2021-03-29",2,0
"Tillicoultry","2021-02-19",2,NA
"Tillicoultry","2021-02-19",2,203706
"Tillicoultry","2021-02-23",2,NA
"Tillicoultry","2021-02-23",2,44210
"Tillicoultry","2021-03-22",2,NA
"Tillicoultry","2021-03-22",2,4868
